Node Number =    6212
         12558.61719         13826.80859            15.24203
         12758.57129         13826.80859            15.20865
         12958.52637         13826.80859            15.22067
         13158.48145         13826.80859            15.22075
         13358.43555         13826.80859            15.22076
         13558.39062         13826.80859            15.24210
         13758.34766         13826.80664            15.20867
         13958.30176         13826.81055            15.22072
         14158.29395         13826.79688            15.22078
         14358.44434         13826.43945            15.22038
         14557.52344         13827.00391            15.24253
         14755.29199         13811.42090            15.19688
         14974.59961         13817.59961            15.20208
         15200.00000         13800.00000            15.20000
           180.97806         13651.68359            14.90630
             0.00000         13600.00000            14.88000
           347.55280         13546.45703            14.81205
           513.32056         13636.85645            14.92665
           710.95880         13656.44824            14.95774
           910.48529         13653.04199            14.95209
          1110.95752         13653.65625            14.95308
          1310.87024         13653.56738            14.95576
          1510.90710         13653.61035            14.95301
          1710.92407         13653.62695            14.95428
          1910.93542         13653.62598            14.95303
          2110.94897         13653.62500            14.95125
          2310.96094         13653.62305            14.95584
          2510.96582         13653.61621            14.95301
          2710.93115         13653.57227            14.95420
          2910.63672         13653.45215            14.95276
          3108.74072         13651.55762            14.94811
          3286.80566         13674.98926            14.99724
          3468.35864         13652.38281            14.94766
          3666.56641         13653.81250            14.95693
          3866.52222         13654.08008            14.95017
          4066.18481         13653.62207            14.95007
          4266.20947         13653.63965            14.94933
          4466.20654         13653.62500            14.93929
          4666.22168         13653.62598            14.94971
          4866.23535         13653.62598            14.94932
          5066.24902         13653.62598            14.95659
          5266.26270         13653.62598            14.94932
          5466.27637         13653.62598            14.95308
          5666.29004         13653.62598            14.94933
          5866.30371         13653.62598            14.94925
          6066.31738         13653.62598            14.95660
          6266.33105         13653.62598            14.94934
          6466.34473         13653.62598            14.95309
          6666.35840         13653.62598            14.94935
          6866.37207         13653.62598            14.94926
          7066.38574         13653.62598            14.95660
          7266.39941         13653.62598            14.94936
          7466.41309         13653.62598            14.94936
          7666.42676         13653.62598            14.94936
          7866.44043         13653.62598            14.95015
          8066.45410         13653.62598            14.94937
          8266.46777         13653.62598            14.93931
          8466.48145         13653.62598            14.94978
          8666.49512         13653.62598            14.94938
          8866.50879         13653.62598            14.95661
          9066.52246         13653.62598            14.94938
          9266.53613         13653.62598            14.95312
          9466.54980         13653.62598            14.94939
          9666.56348         13653.62598            14.94930
          9866.57715         13653.62598            14.95662
         10066.59082         13653.62598            14.94940
         10266.60449         13653.62598            14.95313
         10466.61816         13653.62598            14.94941
         10666.63184         13653.62598            14.94931
         10866.64551         13653.62598            14.95663
         11066.65918         13653.62598            14.94942
         11266.67285         13653.62598            14.95314
         11466.68652         13653.62598            14.94942
         11666.70020         13653.62598            14.94932
         11866.71387         13653.62598            14.95663
         12066.72754         13653.62598            14.94943
         12266.74121         13653.62695            14.95315
         12466.75488         13653.62598            14.94944
         12666.76855         13653.62695            14.94934
         12866.78223         13653.62598            14.95664
         13066.79590         13653.62695            14.94945
         13266.80957         13653.62695            14.95316
         13466.82324         13653.62598            14.94945
         13666.83691         13653.62891            14.94935
         13866.85645         13653.61914            14.95663
         14066.87598         13653.66602            14.94953
         14267.10156         13653.55469            14.95308
         14467.80176         13650.62207            14.94455
         14660.57031         13648.16699            14.93891
         14856.10645         13594.26953            14.87480
         15038.94531         13634.18164            14.91263
         15200.00000         13600.00000            14.88000
           174.63736         13444.23828            14.60338
             0.00000         13400.00000            14.56000
           347.52673         13327.72559            14.46644
           530.72797         13418.10254            14.57959
           680.77899         13490.78906            14.70371
           869.72186         13475.26562            14.66976
          1068.08679         13480.46777            14.67957
          1267.78235         13480.13379            14.67888
          1467.91406         13480.35156            14.67933
          1667.98291         13480.43164            14.67949
          1868.03381         13480.42188            14.68277
          2068.09155         13480.42383            14.68994
          2268.15503         13480.42578            14.67949
          2468.24170         13480.42773            14.67951
          2668.42041         13480.43359            14.67953
          2869.01880         13480.43457            14.68293
          3072.22266         13480.07324            14.69041
          3291.05957         13492.47559            14.70463
          3509.39648         13483.01758            14.68572
          3715.37231         13483.28223            14.68609
          3913.28491         13480.45312            14.68063
          4113.53418         13480.45117            14.68062
          4313.50684         13480.42480            14.68056
          4513.57715         13480.42773            14.68057
          4713.63281         13480.42773            14.67872
          4913.68896         13480.42773            14.68056
          5113.74463         13480.42773            14.68056
          5313.80078         13480.42773            14.68056
          5513.85645         13480.42773            14.68056
          5713.91260         13480.42773            14.68301
          5913.96826         13480.42773            14.69613
          6114.02441         13480.42773            14.68055
          6314.08008         13480.42773            14.68055
          6514.13623         13480.42773            14.68055
          6714.19189         13480.42773            14.68299
          6914.24805         13480.42773            14.69611
          7114.30371         13480.42773            14.68054
          7314.35986         13480.42773            14.68054
          7514.41553         13480.42773            14.68054
          7714.47119         13480.42773            14.68054
          7914.52734         13480.42773            14.68054
          8114.58301         13480.42773            14.68053
          8314.63867         13480.42773            14.68053
          8514.69531         13480.42773            14.67860
          8714.75098         13480.42773            14.68053
          8914.80664         13480.42773            14.68053
          9114.86230         13480.42773            14.68052
          9314.91797         13480.42773            14.68052
          9514.97461         13480.42773            14.68292
          9715.03027         13480.42773            14.69603
          9915.08594         13480.42773            14.68052
         10115.14160         13480.42773            14.68051
         10315.19727         13480.42773            14.68051
         10515.25293         13480.42773            14.68289
         10715.30957         13480.42773            14.69601
         10915.36523         13480.42773            14.67133
         11115.42090         13480.42773            14.68050
         11315.47656         13480.42773            14.68050
         11515.53223         13480.42773            14.68287
         11715.58789         13480.42773            14.69598
         11915.64453         13480.42773            14.68050
         12115.70020         13480.42773            14.68049
         12315.75586         13480.42773            14.68049
         12515.81152         13480.42773            14.68284
         12715.86719         13480.42773            14.69595
         12915.92383         13480.42773            14.67130
         13115.97852         13480.42773            14.68048
         13316.03516         13480.42773            14.68048
         13516.09082         13480.42578            14.68281
         13716.15137         13480.44238            14.69595
         13916.23438         13480.41211            14.68044
         14116.52441         13480.90234            14.68138
         14319.41699         13480.53906            14.68054
         14520.30664         13451.47656            14.62829
         14709.88184         13483.88086            14.70264
         14858.26367         13372.43262            14.53083
         15024.99316         13446.51465            14.60711
         15200.00000         13400.00000            14.56000
           173.20842         13243.48438            14.28251
             0.00000         13200.00000            14.24000
           347.55133         13127.94336            14.14433
           532.40125         13229.11523            14.27310
           772.19574         13286.65039            14.39403
          1004.40607         13307.67383            14.42010
          1206.25391         13305.76270            14.41507
          1407.28931         13306.85645            14.41566
          1607.44006         13307.20703            14.41251
          1807.33716         13307.17578            14.41149
          2007.30066         13307.17871            14.42109
          2207.25342         13307.18750            14.40691
          2407.20337         13307.18848            14.41874
          2607.14697         13307.17969            14.41242
          2807.07495         13307.14941            14.41055
          3006.97632         13307.03809            14.42078
          3207.04248         13308.93359            14.41132
          3403.86841         13306.79785            14.41783
          3584.40088         13328.71875            14.47016
          3764.41895         13305.58984            14.41324
          3962.25781         13307.08008            14.42146
          4161.96387         13307.14941            14.41673
          4361.92285         13307.19336            14.41596
          4561.87598         13307.19336            14.43473
          4761.82910         13307.19336            14.41845
          4961.78223         13307.19336            14.41535
          5161.73535         13307.19336            14.41648
          5361.68848         13307.19336            14.41595
          5561.64160         13307.19336            14.41681
          5761.59473         13307.19336            14.41982
          5961.54785         13307.19336            14.41680
          6161.50098         13307.19336            14.41624
          6361.45410         13307.19336            14.41679
          6561.40723         13307.19336            14.41679
          6761.36035         13307.19336            14.41678
          6961.31348         13307.19336            14.41678
          7161.26660         13307.19336            14.41624
          7361.21973         13307.19336            14.41677
          7561.17285         13307.19336            14.41677
          7761.12549         13307.19336            14.42169
          7961.07861         13307.19336            14.41676
          8161.03174         13307.19336            14.41591
          8360.98438         13307.19336            14.43476
          8560.93750         13307.19336            14.41836
          8760.89062         13307.19336            14.41531
          8960.84375         13307.19336            14.41645
          9160.79688         13307.19336            14.41589
          9360.75000         13307.19336            14.41674
          9560.70312         13307.19336            14.41974
          9760.65625         13307.19336            14.41673
          9960.60938         13307.19336            14.41622
         10160.56152         13307.19336            14.41672
         10360.51465         13307.19336            14.41672
         10560.46777         13307.19336            14.41671
         10760.42090         13307.19336            14.41671
         10960.37402         13307.19336            14.41644
         11160.32715         13307.19336            14.41670
         11360.27930         13307.19336            14.41670
         11560.23242         13307.19336            14.41970
         11760.18555         13307.19336            14.41669
         11960.13867         13307.19336            14.41620
         12160.09082         13307.19238            14.41668
