Node Number =    6212
             0.00000         14000.00000             0.00000
           200.00000         14000.00000             0.00000
           400.00000         14000.00000             0.00000
           600.00000         14000.00000             0.00000
           800.00000         14000.00000             0.00000
          1000.00000         14000.00000             0.00000
          1200.00000         14000.00000             0.00000
          1400.00000         14000.00000             0.00000
          1600.00000         14000.00000             0.00000
          1800.00000         14000.00000             0.00000
          2000.00000         14000.00000             0.00000
          2200.00000         14000.00000             0.00000
          2400.00000         14000.00000             0.00000
          2600.00000         14000.00000             0.00000
          2800.00000         14000.00000             0.00000
          3000.00000         14000.00000             0.00000
          3200.00000         14000.00000             0.00000
          3400.00000         14000.00000             0.00000
          3600.00000         14000.00000             0.00000
          3800.00000         14000.00000             0.00000
          4000.00000         14000.00000             0.00000
          4200.00000         14000.00000             0.00000
          4400.00000         14000.00000             0.00000
          4600.00000         14000.00000             0.00000
          4800.00000         14000.00000             0.00000
          5000.00000         14000.00000             0.00000
          5200.00000         14000.00000             0.00000
          5400.00000         14000.00000             0.00000
          5600.00000         14000.00000             0.00000
          5800.00000         14000.00000             0.00000
          6000.00000         14000.00000             0.00000
          6200.00000         14000.00000             0.00000
          6400.00000         14000.00000             0.00000
          6600.00000         14000.00000             0.00000
          6800.00000         14000.00000             0.00000
          7000.00000         14000.00000             0.00000
          7200.00000         14000.00000             0.00000
          7400.00000         14000.00000             0.00000
          7600.00000         14000.00000             0.00000
          7800.00000         14000.00000             0.00000
          8000.00000         14000.00000             0.00000
          8200.00000         14000.00000             0.00000
          8400.00000         14000.00000             0.00000
          8600.00000         14000.00000             0.00000
          8800.00000         14000.00000             0.00000
          9000.00000         14000.00000             0.00000
          9200.00000         14000.00000             0.00000
          9400.00000         14000.00000             0.00000
          9600.00000         14000.00000             0.00000
          9800.00000         14000.00000             0.00000
         10000.00000         14000.00000             0.00000
         10200.00000         14000.00000             0.00000
         10400.00000         14000.00000             0.00000
         10600.00000         14000.00000             0.00000
         10800.00000         14000.00000             0.00000
         11000.00000         14000.00000             0.00000
         11200.00000         14000.00000             0.00000
         11400.00000         14000.00000             0.00000
         11600.00000         14000.00000             0.00000
         11800.00000         14000.00000             0.00000
         12000.00000         14000.00000             0.00000
         12200.00000         14000.00000             0.00000
         12400.00000         14000.00000             0.00000
         12600.00000         14000.00000             0.00000
         12800.00000         14000.00000             0.00000
         13000.00000         14000.00000             0.00000
         13200.00000         14000.00000             0.00000
         13400.00000         14000.00000             0.00000
         13600.00000         14000.00000             0.00000
         13800.00000         14000.00000             0.00000
         14000.00000         14000.00000             0.00000
         14200.00000         14000.00000             0.00000
         14400.00000         14000.00000             0.00000
         14600.00000         14000.00000             0.00000
         14800.00000         14000.00000             0.00000
         15000.00000         14000.00000             0.00000
         15200.00000         14000.00000             0.00000
           158.95749         13842.07520             0.00000
             0.00000         13800.00000             0.00000
           352.68207         13793.45898             0.00000
           558.15149         13826.15723             0.00000
           760.80969         13827.03809             0.00000
           961.17218         13826.65918             0.00000
          1161.22107         13826.81641             0.00000
          1361.14453         13826.79492             0.00000
          1561.10498         13826.80469             0.00000
          1761.06055         13826.80859             0.00000
          1961.01489         13826.80859             0.00000
          2160.97046         13826.80859             0.00000
          2360.92651         13826.80859             0.00000
          2560.88550         13826.80469             0.00000
          2760.82788         13826.83105             0.00000
          2960.78320         13826.63965             0.00000
          3158.28931         13829.83984             0.00000
          3361.62109         13830.28320             0.00000
          3560.56689         13826.86914             0.00000
          3760.60596         13826.94238             0.00000
          3960.57959         13826.91797             0.00000
          4160.50830         13826.81543             0.00000
          4360.47363         13826.81250             0.00000
          4560.42627         13826.80859             0.00000
          4760.38135         13826.80859             0.00000
          4960.33594         13826.80859             0.00000
          5160.29102         13826.80859             0.00000
          5360.24561         13826.80859             0.00000
          5560.20020         13826.80859             0.00000
          5760.15527         13826.80859             0.00000
          5960.10986         13826.80859             0.00000
          6160.06445         13826.80859             0.00000
          6360.01953         13826.80859             0.00000
          6559.97412         13826.80859             0.00000
          6759.92871         13826.80859             0.00000
          6959.88379         13826.80859             0.00000
          7159.83838         13826.80859             0.00000
          7359.79297         13826.80859             0.00000
          7559.74805         13826.80859             0.00000
          7759.70264         13826.80859             0.00000
          7959.65723         13826.80859             0.00000
          8159.61230         13826.80859             0.00000
          8359.56738         13826.80859             0.00000
          8559.52148         13826.80859             0.00000
          8759.47656         13826.80859             0.00000
          8959.43164         13826.80859             0.00000
          9159.38574         13826.80859             0.00000
          9359.34082         13826.80859             0.00000
          9559.29590         13826.80859             0.00000
          9759.25000         13826.80859             0.00000
          9959.20508         13826.80859             0.00000
         10159.16016         13826.80859             0.00000
         10359.11426         13826.80859             0.00000
         10559.06934         13826.80859             0.00000
         10759.02441         13826.80859             0.00000
         10958.97852         13826.80859             0.00000
         11158.93359         13826.80859             0.00000
         11358.88867         13826.80859             0.00000
         11558.84277         13826.80859             0.00000
         11758.79785         13826.80859             0.00000
         11958.75293         13826.80859             0.00000
         12158.70703         13826.80859             0.00000
         12358.66211         13826.80859             0.00000
         12558.61719         13826.80859             0.00000
         12758.57129         13826.80859             0.00000
         12958.52637         13826.80859             0.00000
         13158.48145         13826.80859             0.00000
         13358.43555         13826.80859             0.00000
         13558.39062         13826.80859             0.00000
         13758.34766         13826.80664             0.00000
         13958.30176         13826.81055             0.00000
         14158.29395         13826.79688             0.00000
         14358.44434         13826.43945             0.00000
         14557.52344         13827.00391             0.00000
