Node Number =    4890
        273222.21875        146900.00000            10.00000
        274230.00000        146900.00000            10.00000
        275237.78125        146900.00000            10.00000
        276245.56250        146900.00000            10.00000
        277253.34375        146900.00000            10.00000
        278261.09375        146900.00000            10.00000
        279268.87500        146900.00000            10.00000
        280276.65625        146900.00000            10.00000
        281284.43750        146900.00000            10.00000
        282292.21875        146900.00000            10.00000
        283300.00000        146900.00000            10.00000
        284296.31250        146900.00000            10.00000
        285292.59375        146900.00000            10.00000
        286171.00000        146886.00000            10.00000
        287340.00000        147290.00000            10.00000
        288200.00000        147824.00000            10.00000
        288813.00000        148417.00000            10.00000
        289157.00000        149585.00000            10.00000
        289299.50000        150549.79688            10.00000
        289370.18750        151543.59375            10.00000
        289370.00000        152490.00000            10.00000
        289385.18750        153535.00000            10.00000
        289373.18750        154531.20312            10.00000
        289378.09375        155527.50000            10.00000
        289349.90625        156523.40625            10.00000
        289301.68750        157518.50000            10.00000
        289277.18750        158514.50000            10.00000
        289150.40625        159502.79688            10.00000
        288817.81250        160441.79688            10.00000
        288345.00000        161366.00000            10.00000
        287383.00000        161877.00000            10.00000
        286360.00000        162080.00000            10.00000
        285340.00000        162080.00000            10.00000
        284336.31250        162080.00000            10.00000
        283340.00000        162080.00000            10.00000
        282332.21875        162081.90625            10.00000
        281324.43750        162083.81250            10.00000
        280316.65625        162085.71875            10.00000
        279308.90625        162087.64062            10.00000
        278301.12500        162089.54688            10.00000
        277293.34375        162091.45312            10.00000
        276285.56250        162093.35938            10.00000
        275277.78125        162095.26562            10.00000
        274270.00000        162097.17188            10.00000
        273262.25000        162099.09375            10.00000
        273734.78125        147517.01562            10.00000
        272780.00000        147465.56250            10.00000
        274571.81250        147754.82812            10.00000
        275503.50000        147702.45312            10.00000
        276435.37500        147752.65625            10.00000
        277295.09375        147807.81250            10.00000
        278064.75000        147700.96875            10.00000
        278948.03125        147716.92188            10.00000
        279824.53125        147716.82812            10.00000
        280717.37500        147707.79688            10.00000
        281616.03125        147707.18750            10.00000
        282560.40625        147761.42188            10.00000
        283521.59375        147703.01562            10.00000
        284329.21875        147806.85938            10.00000
        285127.81250        147711.01562            10.00000
        286133.46875        147770.18750            10.00000
        286938.18750        148255.71875            10.00000
        287746.18750        148437.26562            10.00000
        288126.81250        149296.81250            10.00000
        288378.25000        150195.21875            10.00000
        288520.93750        151097.07812            10.00000
        288565.03125        151990.21875            10.00000
        288569.12500        152884.09375            10.00000
        288568.15625        153771.67188            10.00000
        288517.84375        154700.82812            10.00000
        288455.00000        155546.79688            10.00000
        288551.50000        156318.01562            10.00000
        288507.75000        157200.48438            10.00000
        288459.28125        158100.53125            10.00000
        288348.03125        159007.39062            10.00000
        288063.46875        159872.04688            10.00000
        287664.31250        160768.15625            10.00000
        286713.75000        161083.40625            10.00000
        285793.31250        161230.90625            10.00000
        284864.37500        161258.42188            10.00000
        283954.56250        161265.34375            10.00000
        283048.06250        161262.18750            10.00000
        282113.84375        161219.92188            10.00000
        281239.21875        161174.65625            10.00000
        280471.46875        161283.42188            10.00000
        279594.00000        161278.54688            10.00000
        278706.90625        161274.43750            10.00000
        277827.78125        161276.39062            10.00000
        276931.09375        161288.12500            10.00000
        275998.43750        161239.43750            10.00000
        275050.18750        161298.60938            10.00000
        274266.78125        161221.00000            10.00000
        273504.50000        161377.01562            10.00000
        272780.00000        161574.45312            10.00000
        273606.00000        148112.01562            10.00000
        272780.00000        148473.34375            10.00000
        274259.46875        148604.35938            10.00000
        274978.56250        148480.37500            10.00000
        275717.78125        148459.43750            10.00000
        276389.81250        148562.85938            10.00000
        277053.81250        148471.76562            10.00000
        277820.03125        148479.92188            10.00000
        278587.12500        148465.29688            10.00000
        279410.90625        148522.14062            10.00000
        280238.71875        148467.90625            10.00000
        281017.43750        148468.76562            10.00000
        281789.25000        148463.23438            10.00000
        282462.71875        148573.48438            10.00000
        283155.65625        148475.26562            10.00000
        283929.53125        148494.21875            10.00000
        284751.31250        148486.92188            10.00000
        285559.81250        148551.92188            10.00000
        286341.59375        148793.79688            10.00000
        287150.68750        149207.89062            10.00000
        287490.81250        150035.18750            10.00000
        287692.87500        150840.09375            10.00000
        287778.34375        151644.10938            10.00000
        287801.15625        152424.84375            10.00000
        287792.81250        153190.67188            10.00000
        287807.37500        153936.39062            10.00000
        287717.78125        154599.87500            10.00000
        287742.40625        155326.17188            10.00000
        287774.34375        156132.04688            10.00000
        287751.31250        156901.62500            10.00000
        287706.81250        157691.29688            10.00000
        287620.12500        158506.59375            10.00000
        287383.37500        159304.17188            10.00000
        287010.37500        160103.18750            10.00000
        286162.37500        160337.65625            10.00000
        285320.00000        160460.37500            10.00000
        284502.40625        160474.82812            10.00000
        283700.12500        160493.60938            10.00000
        282867.65625        160467.37500            10.00000
        282108.65625        160417.40625            10.00000
        281437.75000        160506.96875            10.00000
        280663.93750        160498.79688            10.00000
        279907.43750        160512.37500            10.00000
        279130.43750        160523.70312            10.00000
        278312.81250        160480.76562            10.00000
        277490.21875        160529.67188            10.00000
        276722.21875        160538.53125            10.00000
        276054.46875        160426.54688            10.00000
        275397.25000        160553.62500            10.00000
        274606.40625        160536.96875            10.00000
        273722.34375        160659.79688            10.00000
        272780.00000        160566.67188            10.00000
        273600.62500        148779.31250            10.00000
        273338.09375        149322.17188            10.00000
        272780.00000        149481.12500            10.00000
        274051.96875        149375.07812            10.00000
        274742.12500        149150.62500            10.00000
        275438.75000        149152.89062            10.00000
        276132.31250        149131.00000            10.00000
        276816.03125        149134.23438            10.00000
        277468.78125        149128.98438            10.00000
        278143.90625        149131.09375            10.00000
        278799.96875        149110.18750            10.00000
        279436.68750        149250.89062            10.00000
        280046.90625        149120.09375            10.00000
        280713.75000        149139.53125            10.00000
        281377.28125        149126.42188            10.00000
        282060.65625        149146.62500            10.00000
        282746.25000        149155.92188            10.00000
        283473.43750        149187.21875            10.00000
        284231.50000        149158.57812            10.00000
        284957.65625        149202.78125            10.00000
        285663.78125        149348.65625            10.00000
        286352.18750        149541.68750            10.00000
        286705.25000        150061.93750            10.00000
        286938.40625        150757.00000            10.00000
        287049.75000        151439.82812            10.00000
        287090.34375        152138.76562            10.00000
        287088.18750        152801.62500            10.00000
        287066.75000        153478.81250            10.00000
        287102.90625        154149.93750            10.00000
        287100.15625        154783.67188            10.00000
        286968.59375        155375.14062            10.00000
        287096.40625        155964.10938            10.00000
        287041.18750        156617.18750            10.00000
        287025.31250        157270.34375            10.00000
        286985.09375        157986.29688            10.00000
        286822.78125        158709.98438            10.00000
        286427.62500        159421.73438            10.00000
        285703.90625        159739.14062            10.00000
        285006.25000        159747.82812            10.00000
        284257.00000        159765.95312            10.00000
        283504.06250        159839.56250            10.00000
        282904.06250        159751.96875            10.00000
        282315.96875        159841.93750            10.00000
        281643.62500        159830.78125            10.00000
        280978.59375        159857.01562            10.00000
        280262.21875        159821.09375            10.00000
        279549.21875        159866.48438            10.00000
        278889.68750        159876.18750            10.00000
        278301.09375        159777.79688            10.00000
        277744.50000        159878.59375            10.00000
        277078.37500        159879.42188            10.00000
        276422.93750        159859.01562            10.00000
        275715.28125        159841.70312            10.00000
        275074.31250        159974.95312            10.00000
        274611.34375        159743.96875            10.00000
        274124.25000        160115.09375            10.00000
