Node Number =    4890
        273222.21875        146900.00000        146900.00000
        274230.00000        146900.00000        146900.00000
        275237.78125        146900.00000        146900.00000
        276245.56250        146900.00000        146900.00000
        277253.34375        146900.00000        146900.00000
        278261.09375        146900.00000        146900.00000
        279268.87500        146900.00000        146900.00000
        280276.65625        146900.00000        146900.00000
        281284.43750        146900.00000        146900.00000
        282292.21875        146900.00000        146900.00000
        283300.00000        146900.00000        146900.00000
        284296.31250        146900.00000        146900.00000
        285292.59375        146900.00000        146900.00000
        286171.00000        146886.00000        146886.00000
        287340.00000        147290.00000        147290.00000
        288200.00000        147824.00000        147824.00000
        288813.00000        148417.00000        148417.00000
        289157.00000        149585.00000        149585.00000
        289299.50000        150549.79688        150549.79688
        289370.18750        151543.59375        151543.59375
        289370.00000        152490.00000        152490.00000
        289385.18750        153535.00000        153535.00000
        289373.18750        154531.20312        154531.20312
        289378.09375        155527.50000        155527.50000
        289349.90625        156523.40625        156523.40625
        289301.68750        157518.50000        157518.50000
        289277.18750        158514.50000        158514.50000
        289150.40625        159502.79688        159502.79688
        288817.81250        160441.79688        160441.79688
        288345.00000        161366.00000        161366.00000
        287383.00000        161877.00000        161877.00000
        286360.00000        162080.00000        162080.00000
        285340.00000        162080.00000        162080.00000
        284336.31250        162080.00000        162080.00000
        283340.00000        162080.00000        162080.00000
        282332.21875        162081.90625        162081.90625
        281324.43750        162083.81250        162083.81250
        280316.65625        162085.71875        162085.71875
        279308.90625        162087.64062        162087.64062
        278301.12500        162089.54688        162089.54688
        277293.34375        162091.45312        162091.45312
        276285.56250        162093.35938        162093.35938
        275277.78125        162095.26562        162095.26562
        274270.00000        162097.17188        162097.17188
        273262.25000        162099.09375        162099.09375
        273734.78125        147517.01562        147517.01562
        272780.00000        147465.56250        147465.56250
        274571.81250        147754.82812        147754.82812
        275503.50000        147702.45312        147702.45312
        276435.37500        147752.65625        147752.65625
        277295.09375        147807.81250        147807.81250
        278064.75000        147700.96875        147700.96875
        278948.03125        147716.92188        147716.92188
        279824.53125        147716.82812        147716.82812
        280717.37500        147707.79688        147707.79688
        281616.03125        147707.18750        147707.18750
        282560.40625        147761.42188        147761.42188
        283521.59375        147703.01562        147703.01562
        284329.21875        147806.85938        147806.85938
        285127.81250        147711.01562        147711.01562
        286133.46875        147770.18750        147770.18750
        286938.18750        148255.71875        148255.71875
        287746.18750        148437.26562        148437.26562
        288126.81250        149296.81250        149296.81250
        288378.25000        150195.21875        150195.21875
        288520.93750        151097.07812        151097.07812
        288565.03125        151990.21875        151990.21875
        288569.12500        152884.09375        152884.09375
        288568.15625        153771.67188        153771.67188
        288517.84375        154700.82812        154700.82812
        288455.00000        155546.79688        155546.79688
        288551.50000        156318.01562        156318.01562
        288507.75000        157200.48438        157200.48438
        288459.28125        158100.53125        158100.53125
        288348.03125        159007.39062        159007.39062
        288063.46875        159872.04688        159872.04688
        287664.31250        160768.15625        160768.15625
        286713.75000        161083.40625        161083.40625
        285793.31250        161230.90625        161230.90625
        284864.37500        161258.42188        161258.42188
        283954.56250        161265.34375        161265.34375
        283048.06250        161262.18750        161262.18750
        282113.84375        161219.92188        161219.92188
        281239.21875        161174.65625        161174.65625
        280471.46875        161283.42188        161283.42188
        279594.00000        161278.54688        161278.54688
        278706.90625        161274.43750        161274.43750
        277827.78125        161276.39062        161276.39062
        276931.09375        161288.12500        161288.12500
        275998.43750        161239.43750        161239.43750
        275050.18750        161298.60938        161298.60938
        274266.78125        161221.00000        161221.00000
        273504.50000        161377.01562        161377.01562
        272780.00000        161574.45312        161574.45312
        273606.00000        148112.01562        148112.01562
        272780.00000        148473.34375        148473.34375
        274259.46875        148604.35938        148604.35938
        274978.56250        148480.37500        148480.37500
        275717.78125        148459.43750        148459.43750
        276389.81250        148562.85938        148562.85938
        277053.81250        148471.76562        148471.76562
        277820.03125        148479.92188        148479.92188
        278587.12500        148465.29688        148465.29688
        279410.90625        148522.14062        148522.14062
        280238.71875        148467.90625        148467.90625
        281017.43750        148468.76562        148468.76562
        281789.25000        148463.23438        148463.23438
        282462.71875        148573.48438        148573.48438
        283155.65625        148475.26562        148475.26562
        283929.53125        148494.21875        148494.21875
        284751.31250        148486.92188        148486.92188
        285559.81250        148551.92188        148551.92188
        286341.59375        148793.79688        148793.79688
        287150.68750        149207.89062        149207.89062
        287490.81250        150035.18750        150035.18750
        287692.87500        150840.09375        150840.09375
        287778.34375        151644.10938        151644.10938
        287801.15625        152424.84375        152424.84375
        287792.81250        153190.67188        153190.67188
        287807.37500        153936.39062        153936.39062
        287717.78125        154599.87500        154599.87500
        287742.40625        155326.17188        155326.17188
        287774.34375        156132.04688        156132.04688
        287751.31250        156901.62500        156901.62500
        287706.81250        157691.29688        157691.29688
        287620.12500        158506.59375        158506.59375
        287383.37500        159304.17188        159304.17188
        287010.37500        160103.18750        160103.18750
        286162.37500        160337.65625        160337.65625
        285320.00000        160460.37500        160460.37500
        284502.40625        160474.82812        160474.82812
        283700.12500        160493.60938        160493.60938
        282867.65625        160467.37500        160467.37500
        282108.65625        160417.40625        160417.40625
        281437.75000        160506.96875        160506.96875
        280663.93750        160498.79688        160498.79688
        279907.43750        160512.37500        160512.37500
        279130.43750        160523.70312        160523.70312
        278312.81250        160480.76562        160480.76562
        277490.21875        160529.67188        160529.67188
        276722.21875        160538.53125        160538.53125
        276054.46875        160426.54688        160426.54688
        275397.25000        160553.62500        160553.62500
        274606.40625        160536.96875        160536.96875
        273722.34375        160659.79688        160659.79688
        272780.00000        160566.67188        160566.67188
        273600.62500        148779.31250        148779.31250
        273338.09375        149322.17188        149322.17188
        272780.00000        149481.12500        149481.12500
        274051.96875        149375.07812        149375.07812
        274742.12500        149150.62500        149150.62500
        275438.75000        149152.89062        149152.89062
        276132.31250        149131.00000        149131.00000
        276816.03125        149134.23438        149134.23438
        277468.78125        149128.98438        149128.98438
        278143.90625        149131.09375        149131.09375
        278799.96875        149110.18750        149110.18750
        279436.68750        149250.89062        149250.89062
        280046.90625        149120.09375        149120.09375
        280713.75000        149139.53125        149139.53125
        281377.28125        149126.42188        149126.42188
        282060.65625        149146.62500        149146.62500
        282746.25000        149155.92188        149155.92188
        283473.43750        149187.21875        149187.21875
        284231.50000        149158.57812        149158.57812
        284957.65625        149202.78125        149202.78125
        285663.78125        149348.65625        149348.65625
        286352.18750        149541.68750        149541.68750
        286705.25000        150061.93750        150061.93750
        286938.40625        150757.00000        150757.00000
        287049.75000        151439.82812        151439.82812
        287090.34375        152138.76562        152138.76562
        287088.18750        152801.62500        152801.62500
        287066.75000        153478.81250        153478.81250
        287102.90625        154149.93750        154149.93750
        287100.15625        154783.67188        154783.67188
        286968.59375        155375.14062        155375.14062
        287096.40625        155964.10938        155964.10938
        287041.18750        156617.18750        156617.18750
        287025.31250        157270.34375        157270.34375
        286985.09375        157986.29688        157986.29688
        286822.78125        158709.98438        158709.98438
        286427.62500        159421.73438        159421.73438
        285703.90625        159739.14062        159739.14062
        285006.25000        159747.82812        159747.82812
        284257.00000        159765.95312        159765.95312
        283504.06250        159839.56250        159839.56250
        282904.06250        159751.96875        159751.96875
        282315.96875        159841.93750        159841.93750
        281643.62500        159830.78125        159830.78125
        280978.59375        159857.01562        159857.01562
        280262.21875        159821.09375        159821.09375
        279549.21875        159866.48438        159866.48438
        278889.68750        159876.18750        159876.18750
        278301.09375        159777.79688        159777.79688
        277744.50000        159878.59375        159878.59375
        277078.37500        159879.42188        159879.42188
        276422.93750        159859.01562        159859.01562
        275715.28125        159841.70312        159841.70312
        275074.31250        159974.95312        159974.95312
        274611.34375        159743.96875        159743.96875
        274124.25000        160115.09375        160115.09375
        273430.53125        159992.21875        159992.21875
        272780.00000        159558.90625        159558.90625
        273230.15625        149946.81250        149946.81250
        273727.90625        149943.96875        149943.96875
        272780.00000        149958.00000        149958.00000
        274219.34375        150062.73438        150062.73438
        274545.96875        149679.56250        149679.56250
        275053.18750        149678.79688        149678.79688
        275514.68750        149738.21875        149738.21875
        276031.34375        149671.23438        149671.23438
        276610.87500        149654.79688        149654.79688
        277153.81250        149709.75000        149709.75000
        277767.06250        149628.92188        149628.92188
        278386.31250        149714.48438        149714.48438
        278951.78125        149598.31250        149598.31250
        279425.21875        149796.73438        149796.73438
        279963.03125        149662.26562        149662.26562
        280512.62500        149710.34375        149710.34375
        281140.34375        149690.23438        149690.23438
        281718.06250        149622.01562        149622.01562
        282303.62500        149733.60938        149733.60938
        282944.28125        149671.14062        149671.14062
        283452.59375        149798.10938        149798.10938
        283969.53125        149699.32812        149699.32812
        284583.25000        149780.28125        149780.28125
        285216.78125        149859.37500        149859.37500
        285887.00000        150164.00000        150164.00000
        286325.25000        150614.54688        150614.54688
        286343.75000        151225.09375        151225.09375
        286489.59375        151815.25000        151815.25000
        286426.15625        152435.10938        152435.10938
        286479.37500        152993.79688        152993.79688
        286397.12500        153429.43750        153429.43750
        286502.71875        153876.98438        153876.98438
        286465.40625        154409.07812        154409.07812
        286487.90625        154935.39062        154935.39062
        286378.78125        155383.64062        155383.64062
        286470.81250        155823.65625        155823.65625
        286441.40625        156333.48438        156333.48438
        286369.31250        156892.93750        156892.93750
        286451.78125        157509.17188        157509.17188
        286342.25000        158149.14062        158149.14062
        286124.37500        158713.26562        158713.26562
        285593.81250        159092.46875        159092.46875
        284866.62500        159168.50000        159168.50000
        284299.34375        159165.00000        159165.00000
        283759.75000        159296.12500        159296.12500
        283163.81250        159265.98438        159265.98438
        282547.81250        159305.92188        159305.92188
        281968.50000        159290.57812        159290.57812
        281335.09375        159288.90625        159288.90625
        280760.46875        159345.54688        159345.54688
        280233.50000        159222.67188        159222.67188
        279763.87500        159345.34375        159345.34375
        279167.12500        159300.82812        159300.82812
        278602.12500        159336.68750        159336.68750
        277972.59375        159279.75000        159279.75000
        277382.71875        159397.53125        159397.53125
        276810.15625        159314.03125        159314.03125
        276175.18750        159345.29688        159345.29688
        275666.50000        159241.34375        159241.34375
        275206.00000        159476.73438        159476.73438
        274867.25000        159246.65625        159246.65625
        274367.68750        159201.70312        159201.70312
        273959.90625        159550.62500        159550.62500
        273322.53125        159343.57812        159343.57812
        272780.00000        159047.00000        159047.00000
        273121.12500        150452.93750        150452.93750
        273544.84375        150451.00000        150451.00000
        273981.43750        150500.25000        150500.25000
        272780.00000        150488.89062        150488.89062
        274441.09375        150549.32812        150549.32812
        274741.25000        150158.79688        150158.79688
        275260.46875        150172.01562        150172.01562
        275775.68750        150017.43750        150017.43750
        276254.15625        150210.56250        150210.56250
        276462.03125        149968.82812        149968.82812
        276805.59375        150171.15625        150171.15625
        277242.40625        150227.01562        150227.01562
        277515.87500        149973.96875        149973.96875
        277976.75000        149975.89062        149975.89062
        278226.31250        150224.29688        150224.29688
        278656.15625        150214.62500        150214.62500
        278912.78125        149947.14062        149947.14062
        279177.25000        150225.00000        150225.00000
        279630.87500        150236.48438        150236.48438
        279836.53125        149985.67188        149985.67188
        280200.43750        150194.85938        150194.85938
        280694.31250        150226.31250        150226.31250
        280861.28125        149985.75000        149985.75000
        281220.12500        150193.00000        150193.00000
        281699.21875        149978.17188        149978.17188
        282159.21875        150201.81250        150201.81250
        282637.09375        150172.79688        150172.79688
        283145.34375        150169.07812        150169.07812
        283577.65625        150219.92188        150219.92188
        283858.06250        150073.71875        150073.71875
        284245.71875        150185.00000        150185.00000
        284641.18750        150302.01562        150302.01562
        284965.18750        150211.43750        150211.43750
        285326.71875        150445.87500        150445.87500
        285620.00000        150680.00000        150680.00000
        285966.28125        150795.04688        150795.04688
        285668.75000        151178.87500        151178.87500
        285931.12500        151573.67188        151573.67188
        286071.90625        152013.64062        152013.64062
        285865.75000        152354.26562        152354.26562
        285996.78125        152764.78125        152764.78125
        286014.46875        153196.87500        153196.87500
        286019.59375        153629.10938        153629.10938
        286038.18750        154039.34375        154039.34375
        285980.53125        154400.93750        154400.93750
        286035.62500        154768.06250        154768.06250
        285995.53125        155209.78125        155209.78125
        286012.00000        155669.21875        155669.21875
        286001.84375        156088.50000        156088.50000
        285953.06250        156514.93750        156514.93750
        285828.40625        156911.07812        156911.07812
        286000.18750        157310.04688        157310.04688
        286030.75000        157814.14062        157814.14062
        285699.93750        158336.78125        158336.78125
        285123.15625        158555.37500        158555.37500
        284642.50000        158752.85938        158752.85938
        284203.90625        158777.65625        158777.65625
        283910.84375        158931.35938        158931.35938
        283474.75000        158843.15625        158843.15625
        283008.84375        158818.14062        158818.14062
        282740.15625        158954.03125        158954.03125
        282360.81250        158874.32812        158874.32812
        281974.84375        158811.23438        158811.23438
        281675.75000        158955.76562        158955.76562
        281377.93750        158811.96875        158811.96875
        280962.37500        158863.81250        158863.81250
        280421.25000        158801.71875        158801.71875
        279890.46875        158825.50000        158825.50000
        279521.84375        159038.42188        159038.42188
        279319.46875        158801.56250        158801.56250
        278842.90625        158861.40625        158861.40625
        278320.15625        158802.59375        158802.59375
        277857.28125        158828.25000        158828.25000
        277381.96875        159044.57812        159044.57812
        276893.25000        158841.00000        158841.00000
        276417.43750        159016.96875        159016.96875
        275895.75000        158860.50000        158860.50000
        275377.15625        158804.50000        158804.50000
        275243.96875        159076.76562        159076.76562
        274798.84375        158837.26562        158837.26562
        274181.25000        158769.81250        158769.81250
        273734.93750        159023.34375        159023.34375
        273203.71875        158804.03125        158804.03125
        272780.00000        158551.12500        158551.12500
        272780.00000        150812.00000        150812.00000
        273064.18750        150891.76562        150891.76562
        273419.31250        150886.96875        150886.96875
        273823.18750        150886.15625        150886.15625
        274228.09375        150903.93750        150903.93750
        274632.21875        150909.29688        150909.29688
        274901.12500        150565.15625        150565.15625
        275342.93750        150574.48438        150574.48438
        275759.75000        150323.60938        150323.60938
        276206.46875        150583.85938        150583.85938
        276637.40625        150571.04688        150571.04688
        277075.53125        150582.15625        150582.15625
        277518.56250        150584.73438        150584.73438
